,, X, Y, X, Y, X, Y
,,       in,       in,       in,       in
,E40,  0.3228,  3.9865,  0.0342,  0.5154,  0.0002,  0.0027
,E41,  2.4610,  0.6549,  0.3541,  0.0544,  0.0018,  0.0003
,E42,  2.4306,  0.0517,  0.3493, -0.0180,  0.0018,  0.0001
,E43, -2.4306, -0.0517, -0.3493,  0.0180,  0.0018,  0.0001
,E44, -2.4610, -0.6549, -0.3541, -0.0544,  0.0018,  0.0003
,E45,  0.7845,  1.1113,  0.1135,  0.1261,  0.0006,  0.0007
,E46,  0.6830, -0.8993,  0.0975, -0.1151,  0.0005,  0.0006
,E47, -0.6830,  0.8993, -0.0975,  0.1151,  0.0005,  0.0006
,E48, -0.7845, -1.1113, -0.1135, -0.1261,  0.0006,  0.0007
,E49,  2.5427,  1.5492,  0.3619,  0.1728,  0.0019,  0.0009
,E50,  2.3490, -0.8426,  0.3414, -0.1364,  0.0018,  0.0007
,E51, -2.3490,  0.8426, -0.3414,  0.1364,  0.0018,  0.0007
,E52, -2.5427, -1.5492, -0.3619, -0.1728,  0.0019,  0.0009
,E53,  1.0566,  4.0925,  0.1397,  0.5208,  0.0007,  0.0027
,E54,  0.4109, -3.8805,  0.0713, -0.5099,  0.0004,  0.0027
,E55, -0.4109,  3.8805, -0.0713,  0.5099,  0.0004,  0.0027
,E56, -1.0566, -4.0925, -0.1397, -0.5208,  0.0007,  0.0027
,E57,  2.3386, -0.6917,  0.3421, -0.1254,  0.0018,  0.0007
,E58,  2.3081, -1.2948,  0.3373, -0.1978,  0.0018,  0.0010
,E59, -2.3081,  1.2948, -0.3373,  0.1978,  0.0018,  0.0010
,E60, -2.3386,  0.6917, -0.3421,  0.1254,  0.0018,  0.0007
,E61,  0.7477,  0.7073,  0.1099,  0.0721,  0.0006,  0.0004
,E62,  0.6463, -1.3033,  0.0940, -0.1691,  0.0005,  0.0009
,E63, -0.6463,  1.3033, -0.0940,  0.1691,  0.0005,  0.0009
,E64, -0.7477, -0.7073, -0.1099, -0.0721,  0.0006,  0.0004
,E65,  2.4202,  0.2027,  0.3500, -0.0070,  0.0018,  0.0000
,E66,  2.2265, -2.1892,  0.3295, -0.3162,  0.0017,  0.0016
,E67, -2.2265,  2.1892, -0.3295,  0.3162,  0.0017,  0.0016
,E68, -2.4202, -0.2027, -0.3500,  0.0070,  0.0018,  0.0000
,E69,  1.0198,  3.6885,  0.1361,  0.4669,  0.0007,  0.0024
,E70,  0.3742, -4.2845,  0.0677, -0.5638,  0.0004,  0.0029
,E71, -0.3742,  4.2845, -0.0677,  0.5638,  0.0004,  0.0029
,E72, -1.0198, -3.6885, -0.1361, -0.4669,  0.0007,  0.0024
,W13,  1.5721, -0.2978,  0.2229, -0.0549,  0.0012,  0.0003
,W14,  0.2332,  3.0809,  0.0253,  0.3708,  0.0001,  0.0019
,W15,  1.2072,  0.0823,  0.1698, -0.0020,  0.0009,  0.0000
,W16,  1.1509, -0.5290,  0.1645, -0.0804,  0.0009,  0.0004
,W17,  0.0439,  0.9034,  0.0071,  0.1003,  0.0000,  0.0005
,W18,  0.3059,  3.7179,  0.0309,  0.4559,  0.0002,  0.0024
